Total items in nomenclatures_v2: 458

[119] ID: 4141bf0a-92f1-401f-8de4-daac17366f98 | code: V2-90217 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN7991 М3*8 (чорний)'
[120] ID: 3feab5b2-0ca0-4b96-bb2d-2f4fcf03a791 | code: V2-90218 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN7991 М3*9 (чорний)'
[121] ID: ef4cb895-bdc1-4ee0-99f6-bfa45861a1d1 | code: V2-90219 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М12*30 (чорний)'
[122] ID: 99ed7e77-0f13-44f1-8001-72d87dfd9d2c | code: V2-90220 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*10 (чорний)'
[123] ID: 58268c37-0164-47d7-85c4-28df068681b5 | code: V2-90221 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*12 (чорний)'
[124] ID: aafef9d5-1921-4580-8200-28e768be1337 | code: V2-90222 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*13 (чорний)'
[125] ID: d45fa7fb-a279-46f1-b1b6-d3dce08c8f90 | code: V2-90223 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*14 (чорний)'
[126] ID: 420fee0e-1b0d-44da-89d8-471b66c86f73 | code: V2-90224 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*16 (чорний)'
[127] ID: 15d4e6fb-896a-4c20-b4d2-7e8863cc272c | code: V2-90225 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*18 (чорний)'
[128] ID: 2efe5a1f-9a81-4c2f-a22e-14da37cc34dc | code: V2-90226 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*20 (чорний)'
[129] ID: 678a107f-1bbd-453d-8a96-498a852b6875 | code: V2-90227 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*22 (чорний)'
[130] ID: b3d9367c-3454-4394-9a40-f5d7e36531b6 | code: V2-90228 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*25 (чорний)'
[131] ID: f00856ef-40bd-4c69-957a-b883561a3827 | code: V2-90229 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*25 (чорний) неповна різьба'
[132] ID: eae24e84-ff6f-431e-9a45-427038f785e7 | code: V2-90230 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*26 (чорний)'
[133] ID: e7792c15-620f-411f-b4c2-6a6709bccfc3 | code: V2-90231 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*30 (чорний)'
[134] ID: 465e6f49-9220-47d2-bdcf-e00c6658daa1 | code: V2-90232 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*30 (чорний) неповна різьба'
[135] ID: c001e332-aeb1-42cd-b089-e4e64aae3489 | code: V2-90233 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*35 (чорний)'
[136] ID: 3f262ae2-18d8-44e1-a7c9-af88606c2470 | code: V2-90234 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*35 (чорний) неповна різьба'
[137] ID: 22043c4d-751d-4ae1-ad01-cc37f92ed787 | code: V2-90235 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*40 (чорний)'
[138] ID: 238c299e-cf52-4db2-aa3c-e413b649f69e | code: V2-90236 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*40 (чорний) неповна різьба'
[139] ID: 497335dd-5cb8-46ba-8c6e-c75d8390edc5 | code: V2-90237 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*45 (чорний)'
[140] ID: fc6a1226-1818-4c9c-8dc5-d2da1351b005 | code: V2-90238 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*50 (чорний)'
[141] ID: d5a8cbae-54fe-4c73-b81e-2d5be5e90556 | code: V2-90239 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*8 (чорний)'
[142] ID: f8abb00b-3646-4843-a7cf-13badcba7cd3 | code: V2-90240 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М3*9 (чорний)'
[143] ID: 8e071aef-7046-4593-8c8c-b6d57d12fbbb | code: V2-90241 | group_id: 'grp_screws_black' | rule_type: 'screw_black' | name: 'Гвинт DIN912 М4*12 (чорний)'
